Word,totalReadingTime
salvarea,293
informații,517
textuale,633
pentru,268
a,66
fi,116
recuperate,712
și,1364
studiate,774
în,101
viitor.,416
Eroul,1379
fost,465
apoi,50
chemat,785
să,122
participe,682
la,624
cel,125
de-al,249
doilea,868
"rit,",558
al,432
"cuceririi,",1017
învingându-l,1631
Claudius.,878
mercenar,738
generalul,432
pe,371
Au,435
produs,1231
Au,185
produs,123
peste,371
90%,239
din,150
filmele,400
de,133
ficțiune,783
America,1291
și,311
și-au,317
distribuit,501
atât,339
internațional.,864
"național,",492
nivel,63
la,249
cât,64
În,495
"schimb,",187
trece,1056
imediat,496
la,62
biții,371
de,62
"oprire,",832
ceea,385
ce,184
reprezintă,999
o,257
recunoaștere,1551
a,593
faptului,1265
că,562
verificarea,1872
parității,2081
acest,247
nivel,556
este,370
cu,184
adevărat,434
inutilă.,182
Am,765
discutat,413
deja,372
despre,1182
unele,450
dintre,186
"acestea,",734
însă,333
cunoașterea,1001
seturilor,743
adaugă,1641
nouă,600
definiție,692
pentru,492
fiecare,308
următoarele,1137
idei.,268
În,61
cele,374
din,122
"urmă,",126
studiul,375
a,217
analizat,494
conversia,599
fosfolipidelor,1242
bogate,467
în,350
polinesaturate,3619
C.,64
fosfolipazei,2482
triacilgliceride,3911
prin,356
intermediul,783
unei,448
căi,335
Exercițiile,1234
și,165
secțiunile,713
de,730
recapitulare,868
contribuie,909
în,116
mod,367
ideal,349
la,101
un,232
model,401
conceput.,561
repetiție,1053
formarea,247
Condițiile,1881
de,62
"mediu,",1005
cum,560
ar,249
fi,62
curentul,868
sau,124
gradienții,1184
"temperatură,",2014
determină,492
două,247
formarea,2170
a,247
bule,654
care,231
conțin,318
concentrații,1075
similare,556
Lentilele,1316
cu,284
zoom,126
"motorizate,",950
controlate,1057
"electronic,",794
sunt,783
amplasate,1198
ambele,557
atât,116
pe,133
lentile,246
"cameră,",1798
să,311
astfel,126
între,185
sincronizate,433
proiector,433
cât,123
și,124
"ele,",184
încât,308
moment.,123
mărească,1177
împreună,495
la,124
aceeași,369
distanță,311
focală,309
în,124
orice,245
Cu,50
toate,366
"acestea,",370
atenuarea,682
nu,246
poate,371
merge,648
decât,266
până,268
la,167
nivelul,232
plasticii,612
sinaptice,804
aspectele,438
neurobiologice.,332
corticale,690
a,67
"creierului,",432
deoarece,268
gravitatea,810
ADHD,310
depinde,621
în,123
principal,554
de,369
Configurația,983
poate,234
"fi,",168
de,116
"asemenea,",489
atribuită,621
pe,248
baza,185
pur,183
empirică,425
a,116
activității,334
Adaugă,1924
un,124
buton,233
bara,334
de,115
instrumente,866
editare,495
din,118
editorul,632
"surse,",424
încât,493
legături,384
utilizatorilor,772
convenabil,661
cel,124
este,166
mai,310
pentru,365
paginile,834
discuții,310
dacă,399
ale,311
cu,216
"roșii,",615
economisi,373
poate,123
dar,249
clic,62
sau,184
două,245
și,124
în,61
alte,185
"cazuri,",278
chiar,168
nu,101
la,51
fel,650
Twinkle.,496
ca,62
rapid,338
Încurajat,916
de,62
susținătorii,670
din,187
sud,62
(mulți,249
dintre,185
ei,124
i-au,184
trimis,249
lui,61
Brooks,245
bastoane,551
"noi,",216
în,493
semn,604
aprobare,558
acțiunilor,370
"sale),",309
s-a,61
întors,186
după,282
o,317
realegere,647
răsunătoare.,768
El,612
crede,233
că,652
ei,51
exprimă,482
aceleași,851
preocupări,537
pe,186
care,372
le,62
simte,306
și,125
"el,",796
dar,101
într-un,267
mod,800
el.,434
"diferit,",432
este,310
obligat,308
moral,721
să,118
tolereze,950
pentru,401
sunt,125
mai,495
slabi,122
împărțiți,311
electronilor,123
Chimia,1548
organică,851
se,284
concentrează,821
asupra,312
carbonului,433
și,66
urmărește,498
mișcarea,534
în,120
precum,309
inelele,1249
electronilor,1562
lanțurile,371
de,166
"carbon,",305
modul,124
care,51
electronii,834
sunt,816
atomi,284
alți,487
cu,61
împărțiți,1485
carbon,301
heteroatomi.,616
La,1091
sfârșitul,435
"secvenței,",1429
o,186
racletă,307
îndepărtează,1238
tonerul,776
rămas,384
pe,65
tambur,434
și,101
întregul,817
proces,681
se,63
repetă,496
cu,61
nouă,344
descris,557
Urmăriți,900
câinele,615
pentru,465
a,62
vă,51
asigura,781
că,186
nu,123
scuipă,184
pastila,433
după,183
ce,184
mâncat,430
așa,66
forțați,924
acest,308
(dacă,266
recompensa,1216
se,99
întâmplă,357
"lucru,",307
va,123
trebui,188
să,60
"pastila,",218
cum,267
este,783
descris,630
mai,124
jos).,433
În,61
cadrul,125
În,369
cadrul,189
conferinței,1125
au,100
fost,267
prezentate,717
datele,167
inițiale,459
ale,248
analizei,248
medicamentului,1734
cardiovasculare,1426
boli,333
pentru,451
Peroxidul,850
de,622
hidrogen,666
se,185
va,310
degrada,1735
spontan,51
în,50
apă,50
oxigen,1134
punctul,63
spațiale.,61
"molecular,",117
însă,869
accelerează,50
catalizator,332
unui,570
prezența,984
această,348
reacție,124
până,431
la,62
care,64
a,248
combustibil,1177
sursă,768
ca,53
folosit,513
pentru,433
torpile,549
și,233
chiar,317
nave,112
Chitara,517
este,467
un,124
instrument,678
de,123
transpoziție,2101
notată,552
cu,248
o,124
octavă,495
mai,309
sus,311
decât,994
standard.,1378
notația,668
înălțimea,1410
sa,932
reală,401
pentru,497
a,63
evita,311
utilizarea,307
clapei,558
bas,463
în,60
Atașarea,1496
la,187
fibră,370
este,122
"atribuită,",1613
cel,371
puțin,432
"parțial,",186
formării,1142
de,183
săruri,683
între,290
grupele,574
cationice,681
din,188
anionice,755
coloranți,1051
și,168
În,167
acest,167
"sistem,",865
compușii,628
sunt,306
denumiți,922
prin,124
analogie,63
cu,126
"gliceraldehida,",124
ceea,62
ce,249
"neambigue,",2653
denumiri,980
general,1182
în,186
produce,1041
dar,217
este,231
cel,245
mai,309
ușor,184
de,124
observat,682
cazul,523
gliceraldehidei.,100
similare,930
biomolecule,1451
micilor,984
Suzuki,495
Pureharp,2178
este,247
unul,247
dintre,249
modele,568
micile,855
de,50
producție,716
care,156
folosesc,1262
lemnul,1365
ca,556
"acoperire,",1593
ceea,63
ce,121
produce,807
un,124
sunet,293
plăcut,417
Este,1083
utilizat,1928
de,433
sistemul,10938
"imunitar,",583
pentru,299
sinteza,433
"ADN-ului,",804
vindecarea,614
rănilor,310
hormonală.,600
și,299
creșterea,701
dezvoltarea,780
normală,803
în,123
perioadele,479
cu,333
activitate,666
O,126
utilizare,683
intensă,933
a,115
spider-ului,1802
poate,62
duce,434
la,62
blocarea,620
accesului,431
"site,",310
cu,200
"prejudicii,",1281
dumneavoastră.,1112
IP-ului,435
sau,311
Folosește,739
aceleași,871
forme,374
de,124
acorduri,1122
ca,232
și,167
Open,716
"E,",52
dar,183
este,229
mai,184
ușor,310
pentru,617
gâtul,392
tensiunea.,378
"chitarei,",1035
deoarece,794
corzile,372
sunt,247
"dezacordate,",600
reducând,535
Deși,315
unele,310
cadre,249
sunt,314
prevăzute,544
cu,181
trei,167
orificii,584
pentru,333
știfturile,2635
"poziționare,",62
anumită,670
doar,494
funcționează,436
să,52
frâne,202
într-o,933
"poziție,",650
așa,350
"că,",874
timpul,372
"dezasamblării,",1238
fost,116
rețineți,383
trebuie,216
ce,182
folosite.,300
Aceasta,374
este,124
doar,431
una,254
dintre,448
numeroasele,667
realizări,619
modul,429
ale,244
ingineriei,988
care,742
ne-au,234
permis,717
nutriție.,550
să,437
cuantificăm,964
și,62
înțelegem,549
gena,500
umană,401
în,63
aceasta,249
legată,331
de,615
În,63
nordul,430
Europei,559
(nordul,308
"Germaniei,",619
Țările,123
de,62
Jos,61
și,117
"Franța),",309
clasa,167
mijloc,383
avea,600
tendința,781
fi,183
"protestantă,",993
ceea,433
ce,62
corespundea,519
cu,51
etica,333
filozofia,366
muncii.,283
O,63
astfel,803
de,122
cavitate,435
poate,122
oferi,190
numeroase,497
avantaje,496
funcționale.,556
Pentru,567
a,64
obține,517
acest,566
"câmp,",218
camera,371
trebuie,605
să,123
fie,124
suficient,370
de,124
"reverberantă,",65
iar,633
evita,119
frecvențele,765
înalte,922
pentru,384
efectele,299
modurilor,817
predominante.,715
Vacuola,1035
alimentară,774
formată,369
",",61
apoi,494
fuzionează,633
cu,203
un,232
lizozom,384
și,216
digeră,449
Toate,569
celelalte,666
lucruri,475
fiind,559
"egale,",368
nucleofilii,742
"sunt,",223
în,217
"general,",349
comparați,701
între,1097
ei,560
reactivitatea,865
privește,393
ceea,555
ce,123
Proiectele,1049
de,123
lege,309
private,372
afectează,1359
o,165
anumită,268
"companie,",575
persoană,368
sau,185
altă,184
entitate,439
publice).,434
anumite,400
(de,189
"exemplu,",556
autorizarea,679
unor,245
construcții,301
majore,500
pe,117
terenuri,267
Faceți,651
clic,167
pe,100
butonul,450
MAC,331
sau,186
WIN,308
atașat,246
pentru,433
a,63
descărca,370
fișierul,248
font,311
zipat.,373
Motivul,951
pentru,232
care,267
leziunile,1997
hipotalamice,1420
afectează,567
grăsimea,650
corporală,494
și,309
semnalizarea,1318
"are,",252
comportamentul,1862
alimentar,281
de,167
"fapt,",125
mult,62
de-a,61
face,558
leptinei.,510
a,933
S-a,246
spus,313
că,522
a,116
trebuit,432
să,102
își,217
croiască,567
drum,281
prin,361
păduri,308
fără,185
"urme,",493
ceea,308
"ce,",122
"îndoială,",623
acest,310
puțin,281
cel,182
cazul,218
fost,531
în,124
oraș.,247
Acest,1493
lucru,369
este,122
"foarte,",501
foarte,335
diferit,448
de,115
modelele,743
pasive,495
citire,310
textului,481
într-o,487
creierul,113
încercarea,65
"viteză,",50
mare,51
Acest,352
manieră,265
liniară,435
de,124
mare,248
"viteză,",800
care,432
se,184
aseamănă,1299
cu,162
încercarea,843
a,123
forța,249
creierul,677
să,449
mie,368
găsească,851
un,166
sens,288
la,187
o,192
gloanțe,310
trec,186
Ca,765
"adjective,",859
terminațiile,806
lor,247
variază,1053
în,63
funcție,248
de,62
substantivele,679
pe,122
care,62
le,186
modifică.,447
În,132
ciuda,166
acestui,692
"fapt,",310
putem,686
vedea,185
că,185
există,247
încă,464
o,116
anumită,566
interacțiune,567
între,432
asupra,499
moderatoare,711
influență,308
McGonagall,800
"McGonagall,",1118
Dumbledore,994
și,247
fiind,247
Dumbledore.,52
de,100
fermă,381
"părților,",433
tuturor,1341
în,123
timp,246
ce,239
manifestă,450
loialitate,303
față,217
utilizați,51
cel,293
De,621
"asemenea,",618
este,369
posibil,515
să,64
existe,935
taxe,232
de,61
licență,630
separate,932
pentru,553
distribuția,618
"GIF,",372
"brevetate,",868
multimedia,1363
date,311
formate,1448
cum,384
ar,115
fi,167
imaginile,429
"care,",313
dacă,51
nu,65
"fapt,",347
"GFDL,",901
fotografia.,398
sau,153
punct,370
din,423
cel,544
puțin,601
vedere,308
"filozofic,",1187
încalcă,667
principiile,382
împiedicându-vă,1899
liber,267
utilizați,400
imaginea,332
Întreaga,909
aplicație,574
asamblată,753
este,622
platforma,994
iar,60
birourile,573
personalului,1482
afectat,717
reprezintă,783
domeniul,483
țintă,323
pentru,250
munca,250
Utilizarea,495
modernă,620
a,62
emoticoanelor,620
în,62
discuțiile,373
electronice,928
se,62
"datorează,",432
"general,",618
1982,247
din,496
propuneri,310
unei,369
Oasele,783
neregulate,1714
au,188
forme,435
"deosebite,",994
nu,201
pot,117
fi,100
grupate,433
sub,100
capetele,654
precedente,1050
și,62
sunt,867
folosite,308
pentru,246
atașarea,749
mușchilor,431
Calcularea,1311
unor,216
astfel,332
de,117
capacități,545
și,62
fie,124
exploatarea,557
"lor,",248
luarea,435
măsurilor,739
ingineria,1671
importantă,306
problemă,868
o,435
contracara,2209
pentru,371
necesare,868
a,64
le,185
reprezintă,791
în,51
electrice.,333
circuitelor,2194
Cu,65
toate,152
"acestea,",516
ar,100
trebui,232
să,100
fie,117
clar,184
că,123
diferite,183
lungimi,248
de,189
undă,184
vor,124
suferi,436
primite.,61
a,61
constructive,63
Cu,417
interferențe,600
constructive,781
pentru,219
diferite,433
unghiuri,676
incidență,283
de,116
a,65
luminii,268
Au,192
fost,318
produse,435
"drame,",311
comedii,247
și,125
toate,250
celelalte,340
forme,267
de,63
"divertisment,",540
precum,850
emisiuni,557
știri,122
muzică.,433
Poșta,308
este,309
generată,347
intern,569
de,188
către,231
sistemul,434
Postfix,435
"însuși,",185
pentru,371
a,62
notifica,369
poștașul,677
fără,50
"asemenea,",373
problemă,675
o,52
despre,615
(această,310
cale,246
"este,",188
indicată,308
cu,124
săgeata,889
etichetă).,698
Tampoanele,924
sensibile,1568
ale,123
degetelor,660
"noastre,",434
folosite,216
ca,116
antene,637
"tactile,",370
detectează,738
cea,268
încordare,546
"tresărire,",493
mică,186
mai,614
sau,166
ezitare,433
de,165
Diagnosticul,934
de,167
schizofrenie,534
nu,116
ar,50
trebui,430
pus,247
în,128
prezența,553
unor,246
simptome,563
depresive,633
că,50
care,66
excepția,434
"extinse,",617
maniacale,753
sau,450
cu,125
cazului,311
este,266
clar,116
simptomele,504
afective.,51
tulburărilor,682
anterioare,483
sunt,500
schizofrenice,1090
Există,593
o,62
ușoară,437
tendință,491
de,117
atac,218
din,66
partea,266
opusă,401
a,65
halogenului.,993
Cu,51
toate,531
"acestea,",60
faptul,283
că,163
scorbutul,988
este,249
cauzat,496
de,188
lipsa,334
vitaminei,783
c,150
a,50
fost,382
descoperit,1368
abia,250
în,62
Același,635
principiu,804
se,125
"aplica,",437
"desigur,",583
și,132
la,101
reflexul,1465
cu,63
un,61
singur,867
"obiectiv,",495
dar,66
primele,590
neplăceri,683
întârzieri,616
provocat,1485
au,51
SLR-uri,798
din,283
cauza,51
necesității,743
de,65
a,187
muta,308
oglinda,67
în,251
permite,433
afara,311
planului,371
focal,61
pentru,618
luminii,385
să,166
ajungă,282
placa,201
spatele,666
După,949
ce,166
Ron,217
aproape,251
că,66
moare,374
bând,245
hidromel,680
"otrăvit,",431
care,251
se,167
pare,616
era,168
destinat,645
încât,541
atât,52
Hermione,550
profesorului,866
"Dumbledore,",727
este,333
de,232
"tulburată,",500
pun,927
dușmăniei,865
lor,62
pentru,310
totdeauna.,621
Deși,806
evreii,62
au,152
fost,216
țintele,300
preferate,538
și,434
sunt,184
victimele,991
despre,249
care,215
auzim,350
cel,167
mai,52
des,283
vorbim,374
când,125
atunci,836
"Holocaust,",681
ei,117
nu,166
singurele,449
Principalul,1039
motiv,434
pentru,334
care,265
nu,52
se,165
permit,867
mai,134
multe,164
ieșiri,335
cu,215
aceeași,400
intrare,450
este,610
aceluiași,609
la,51
aplicăm,400
permite,435
ne,184
acela,431
că,63
să,124
funcție,365
diferite,435
forme,332
ale,167
lucru,372
echivalența,1157
schimba,249
fără,370
acestora.,700
De,787
"asemenea,",417
coeficientul,1317
de,181
frecare,670
variază,431
foarte,745
mult,252
în,187
funcție,117
cele,51
două,185
netezimea,556
"contact,",786
aflate,369
substanțe,1057
precum,466
și,123
temperatura,61
celor,63
substanțe.,815
În,166
chimia,351
"organică,",1114
carbonul,557
este,246
utilizat,434
foarte,557
"frecvent,",768
astfel,466
încât,400
chimiștii,665
știu,60
că,124
capetele,348
carbon,583
de,168
atom,716
există,243
un,101
la,182
fiecărei,308
linii,372
care,245
nu,187
etichetată,618
în,122
mod,744
specific.,1243
Cu,117
toate,868
"acestea,",434
dacă,248
programul,617
este,868
un,189
fel,167
de,167
editor,300
care,216
rulează,350
pe,124
"desktop,",1243
din,125
să,123
posibil,433
doriți,1400
oferiți,931
operatorului,988
opțiunea,547
a,65
salva,252
informațiile,384
introduse,817
program.,772
iasă,248
loc,187
trudă,434
cu,370
în,124
Un,1248
alfabet,981
ingenios,634
le-a,304
permis,247
mayașilor,683
să,185
înregistreze,747
informații,734
pe,117
monumentele,1177
multe,247
de,117
modalitate,748
antropologilor,1812
oferindu-le,826
templele,556
și,184
"lor,",186
o,62
excelentă,993
a,132
afla,217
mai,166
mayașă.,51
cultura,553
viața,244
despre,444
În,50
"general,",1020
se,116
crede,61
pilusul,1522
este,102
asamblat,550
de,215
la,166
baza,268
"sa,",217
deoarece,432
în,62
membrana,991
găsește,383
celulară,840
o,117
rezervă,317
pilină.,434
Când,616
ajung,400
la,63
"destinație,",766
cu,217
terasa,566
umbrită,248
încă,434
"vedere,",497
desfășor,494
prosoapele,871
și,126
mă,123
înclinat.,617
întind,558
confortabil,868
pe,125
scaunul,492
Deoarece,497
majoritatea,743
manualelor,1055
sunt,369
elaborate,806
de,151
către,369
sau,744
pe,552
baza,173
contribuțiilor,1168
respectată.,742
"este,",298
această,603
"domeniu,",680
experților,1015
în,184
cerință,551
"obicei,",1026
bine,61
sferică,63
Mărimea,1421
razei,557
de,185
aggro,765
variază,533
uneori,367
în,125
funcție,381
facțiune,668
și,123
con,373
poate,1240
sferică,683
anumite,619
medii.,684
Deși,683
Harry,342
va,186
deveni,309
"excepție,",682
există,311
un,186
alt,186
"elev,",465
asemenea,60
de,215
orfan,368
și,51
vrăjitor,535
atenție,491
acordat,1015
"talentat,",677
căruia,497
Dumbledore,797
i-a,101
el,49
o,227
"sporită,",492
deși,268
nu,186
același,64
mod,167
Harry.,609
cazul,231
în,333
ca,217
lui,152
Ea,935
aranjează,635
împrumutul,1098
unui,317
reparator,1507
de,61
la,1002
un,184
"concurent,",1218
dar,50
între,573
timp,315
lanterne,357
oameni,434
mare,245
număr,493
organizează,246
cu,63
într-un,550
sistem,449
manual,1002
semnalizare.,1428
"Există,",512
de,112
"asemenea,",718
diferite,504
stiluri,333
editare,473
în,64
sensul,428
cât,104
îndrăzneți,634
sunt,115
dispuși,851
să,488
fie,122
oamenii.,370
Fusese,808
surprinsă,618
de,843
faptul,287
că,104
Taggart,645
trecuse,372
într-o,229
"zi,",171
din,183
"senin,",285
prin,123
camera,499
ei,188
Pentru,372
a,248
familiariza,684
cu,371
demonstrația,850
matematică,748
"și,",124
de,368
"asemenea,",368
unele,457
Demonstrație,581
concepte,784
matematice,929
"bază,",554
cititorii,993
pot,311
citi,312
wikibook,466
Senzorul,818
Hall,306
și,63
inductorul,869
utilizează,1476
o,168
proprietate,1410
a,432
câmpului,554
magnetic,492
pentru,368
detecta,766
curentul,483
printr-un,726
conductor,617
din,123
Acestea,933
"sunt,",125
în,186
"principal,",430
linii,832
directoare,883
privind,610
comportamentul,1048
"administratorilor,",1542
atunci,558
utile,412
pot,367
dar,467
fi,50
când,308
aveți,438
un,63
litigiu,426
serios,368
cu,100
administratorii,766
sau,216
vă,995
comisii,593
și,117
comisarilor,999
adresați,653
unei,217
de,125
arbitraj.,494
Nu,309
uitați,50
că,64
textul,351
Nu,249
uitați,100
că,183
textul,284
va,246
curge,282
și,167
se,280
înfășura,372
diferit,434
pentru,370
alți,126
"utilizatori,",680
în,125
funcție,59
de,122
implicită,371
dimensiunea,799
rezoluția,1901
browserul,972
"ales,",334
"ecranului,",554
a,61
"fontului,",553
opțiunile,62
(cum,400
bare,216
numărul,673
"accesibilitate,",679
instrumente,740
laterale,452
ar,114
fi,67
panourile,932
altele.,284
instantanee),1134
mesagerie,717
Pe,166
partea,484
"germană,",1009
"însă,",181
s-a,124
format,558
un,185
decalaj,495
între,246
cele,286
mai,216
vestice,350
corpuri,616
de,867
"armată,",741
iar,124
înaintarea,495
rapidă,432
a,125
epuizat,556
trupele.,367
Un,102
lucru,982
important,767
de,124
menționat,743
este,433
faptul,247
că,61
caracterele,755
pentru,283
cifre,217
sunt,667
corespunzător,65
reprezentate,922
diferit,371
numărul,492
lor,185
vecine,345
Conexiunile,1616
intercelulare,855
permit,502
heterocitelor,1318
să,124
transporte,556
azotul,675
fixat,348
către,383
celulele,1332
vecine,739
și,123
primească,371
carbohidrați.,680
Puteți,1151
extrage,464
un,151
singur,482
document,432
dintr-o,187
astfel,372
de,63
colecție,494
și,310
îl,61
puteți,565
distribui,550
copie,333
condiția,583
să,122
extras,127
documentul,432
licențe,435
individual,673
în,63
temeiul,621
prezentei,497
"licențe,",218
cu,116
inserați,284
o,115
a,50
licență,367
respectați,367
prezenta,309
toate,185
celelalte,431
documentului,435
copierea,309
privește,370
ce,62
ceea,185
privințe,499
textuală,281
respectiv.,781
O,65
altă,400
carte,1083
separată,373
tratează,744
foile,492
de,249
stil,308
în,125
cascadă,558
"(CSS),",464
care,267
se,50
ocupă,184
aspectul,798
CSS.,51
abordează,602
față,368
cartea,519
general,868
și,123
"stilizare,",1215
dar,165
pe,125
scurt,310
Budismul,993
și,232
jainismul,1000
au,184
multe,499
teme,308
practici,668
"comune,",334
inclusiv,282
accentul,635
pus,315
pe,131
renunțarea,834
la,116
ajunge,126
credința,1148
nonviolență,1427
că,231
se,1259
eliberare,833
prin,218
legăturile,839
lumești,431
merite,374
acumularea,555
"karma,",555
procesul,463
iluzie,466
leagă,212
care,434
indivizi,717
de,62
bune,849
rele.,167
În,51
fiecare,423
"an,",124
numărul,432
de,185
membri,495
ai,187
acestui,432
club,333
"crește,",384
iar,100
nevoia,382
lideri,217
numele,247
sub,247
și,417
cunoscuți,310
grupuri,683
"mici,",124
Facilitatori,799
"nucleu,",433
în,247
cămine,247
crește,396
În,233
"prezent,",507
un,187
loc,183
este,183
egal,186
cu,185
aproximativ,985
600,399
0,267
de,167
alegători.,501
